	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
L-lysine 6-monooxygenase [NADPH] (EC 1.14.13.59), aerobactin biosynthesis protein IucD	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
L-lysine permease	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	403	7	759	872	8	595	513	610	10	3	3	392	246	428	556	773	165	55	19	204	55	25
L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	359	3	592	606	7	426	594	458	26	7	1	306	218	393	480	718	183	40	40	158	68	14
L-Proline/Glycine betaine transporter ProP	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	2	0	0
L-rhamnose isomerase (EC 5.3.1.14)	0	0	0	0	0	0	0	3	0	5	0	0	4	0	0	3	0	1	1	0	0	1
L-rhamnose mutarotase	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-rhamnose operon regulatory protein RhaS	0	0	0	0	52	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1
L-rhamnose operon transcriptional activator RhaR	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
L-rhamnose-proton symporter	0	0	0	0	1	0	2	2	0	0	1	0	0	1	0	7	0	0	0	0	0	0
L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	1327	1393	719	57	7	105	18	18	883	47	241	24	20	4	4	13	66	8	27	14	4889	5434
L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-serine dehydratase (EC 4.3.1.17)	95	13	19	8	1054	7	487	2092	5	1674	4	846	1204	782	1165	801	2782	2004	10	829	2	2
L-serine dehydratase, alpha subunit (EC 4.3.1.17)	12	2005	2987	3902	290	2040	2694	1931	582	357	783	1959	1358	2072	2210	3360	1450	1025	407	318	581	522
L-serine dehydratase, beta subunit (EC 4.3.1.17)	14	1381	881	1448	373	805	666	660	373	123	300	708	903	429	645	1003	458	190	399	96	670	964
L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)	0	2	1	1	7	1	7	7	0	9	9	5	1	6	5	3	6	6	1	1	1	1
L-sorbose 1-phosphate reductase (EC 1.1.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
L-threonine 3-dehydrogenase (EC 1.1.1.103)	10	21	19	9	969	13	382	696	7	3885	12	3451	1202	1035	4343	431	6157	2565	7	1457	4	1
L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	7	15	4	4	621	5	134	81	8	48	6	166	734	35	80	129	152	88	13	167	1	1
L-threonine transporter, anaerobically inducible	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-)	21	2415	1075	1	8	1	17	35	1450	30	456	9	2	2	3	3	5	9	1	13	4577	5141
L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-) homolog	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-xylulose/3-keto-L-gulonate kinase (EC 2.7.1.-)	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1
L,D-transpeptidase ErfK	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
L,D-transpeptidase YbiS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L,D-transpeptidase YnhG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lactacin F ABC transporter permease component	0	0	4	0	1	0	0	2	0	63	1	0	92	1	5	137	225	247	1	0	0	0
Lactacin F transporter auxillary protein	6	378	48	4	1	2	1	1	247	1	317	3	1	1	1	1	1	1	13	1	232	185
Lactacin F two-component system response regulator	2	2109	51	3	3	2	4	2	2303	4	619	4	4	3	4	4	4	3	2	1	247	582
Lactacin F two-component system sensor histidine kinase	2	2537	87	2	7	3	13	7	2717	4	740	4	2	2	2	6	4	2	2	1	257	996
Lactaldehyde reductase (EC 1.1.1.77)	195	4	3	1	16	1	139	19	2	41	1	139	655	11	118	532	1946	1092	3	5	1	1
Lactam utilization protein LamB	1	4	1	2	69	2	3	12	3	43	1	135	1	2	2	1	9	9	1	3	1	1
Lactate 2-monooxygenase (EC 1.13.12.4)	1486	5453	566	952	2	863	11	7	1926	3	537	3	2	3	2	3	5	1	2180	8	1885	4196
Lactate-responsive regulator LldR in Enterobacteria, GntR family	63	0	2	0	9	0	31	14	1	2	0	10	359	5	9	217	431	30	0	5	0	0
Lactate-responsive regulator LldR in Firmicutes, GntR family	24	424	39	1	11	2	69	89	70	5	467	56	156	45	531	38	4	155	1	4	88	141
Lacto-N-biose phosphorylase (EC 2.4.1.211)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lactobacillus delbrueckii phage mv4 main capsid protein Gp34 homolog lin2390	0	0	4	0	0	0	0	65	0	3	0	1	11	0	0	0	0	0	0	0	0	0
Lactose and galactose permease, GPH translocator family	3	72	4	3	2	1	2	1	34	1	39	1	2	2	1	1	1	7	308	4	49	87
Lactose permease	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Lactose phosphotransferase system repressor	3803	49	4834	1522	56	388	5411	21393	23	145	27	9110	1516	2758	6034	45614	38	8832	60	368	179	89
Lactoylglutathione lyase (EC 4.4.1.5)	3	14	4	6	374	4	539	202	3	94	6	183	513	140	338	545	881	451	5	95	4	4
Large exoproteins involved in heme utilization or adhesion	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
Large-conductance mechanosensitive channel	422	1141	247	1020	485	121	4177	1504	628	4462	369	2773	2038	1314	2234	1958	4456	2928	290	931	863	2343
Late competence protein ComC, processing protease	139	68	11	73	5	10	14	3	35	4	16	6	1	26	9	9	37	3	24	3	29	29
Late competence protein ComEA, DNA receptor	100	451	477	639	2	438	211	354	258	3	145	84	80	116	132	183	51	19	51	58	192	150
Late competence protein ComEC, DNA transport	135	451	658	687	2	435	187	225	222	3	154	127	86	138	157	241	67	17	98	21	155	151
Late competence protein ComGA, access of DNA to ComEA	61	67	87	88	1	43	27	31	78	2	16	14	11	16	16	22	5	3	22	6	33	21
Late competence protein ComGB, access of DNA to ComEA	81	45	93	65	4	55	21	23	61	2	11	34	9	19	38	32	6	4	46	8	56	19
Leucine dehydrogenase (EC 1.4.1.9)	0	0	0	0	1	0	0	0	0	1	1070	0	0	0	0	0	0	0	0	0	0	0
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	140	21	40	11	2724	20	7142	5901	17	2075	14	2997	9076	2664	11941	6077	10095	3945	22	3888	7	10
Leucyl-tRNA synthetase (EC 6.1.1.4)	3944	1955	3214	5550	3026	1514	9769	5566	1774	6323	1176	4574	4640	3581	7629	5534	10178	5233	1557	3092	1092	2119
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Lin2022 protein	0	0	0	0	39	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Lipid A acylation protein PagP, palmitoyltransferase	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	9	15	11	8	1279	6	2127	1232	5	942	5	1111	2064	732	2100	1865	2707	1603	6	851	3	3
Lipid A export ATP-binding/permease protein MsbA	2710	793	113	568	252	271	308	362	910	353	235	209	380	170	601	510	741	468	912	153	374	658
Lipid A export ATP-binding/permease protein MsbA (EC 3.6.3.25)	11	4	5	2	184	2	121	499	1	285	6	224	214	254	570	175	505	336	1	246	3	2
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	3	23	4	3	641	5	92	198	3	1137	5	108	131	408	746	133	1023	620	4	270	3	3
Lipid-A-disaccharide synthase (EC 2.4.1.182)	2	10	5	4	319	3	397	235	2	498	6	186	413	333	483	288	1075	421	4	301	2	2
Lipoate synthase	1	5	1	2	23	2	8	75	1	10	7	31	91	6	16	8	85	41	1	7	1	1
Lipoate-protein ligase A	11	27	10	170	4546	8	321	4147	17	738	7	4363	588	642	344	392	1915	785	32	54	25	52
Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)	0	0	0	0	1	0	1	1	0	2	0	3	0	0	1	0	1	1	0	0	0	0
Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-)	1	5	5	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	11
Lipopolysaccharide ABC transporter, ATP-binding protein LptB	4	5	5	5	464	3	293	255	4	1578	3	167	1457	393	845	225	2105	912	4	534	2	2
Lipopolysaccharide biosynthesis protein WzxC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	11	1	1	1	14	1	8	19	1	8	1	17	10	3	8	6	8	5	1	40	1	1
Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)	0	0	0	0	2	0	1	2	0	0	0	21	0	0	0	0	0	0	0	0	0	0
Lipopolysaccharide cholinephosphotransferase LicD3 (EC 2.7.8.-)	0	1	0	0	264	1	0	25	0	42	0	29	2	2	69	2	13	0	0	0	0	0
Lipopolysaccharide core biosynthesis glycosyltransferase, group 2 family protein (EC 2.4.1.-)	3	3	2	1	13	2	187	100	2	714	2	18	275	370	832	104	1802	618	2	551	1	2
Lipopolysaccharide core biosynthesis protein RfaY	0	0	3	2	9	1	2	4	0	11	1	1	9	3	6	3	22	6	0	0	0	0
Lipopolysaccharide core biosynthesis protein WaaP (EC 2.7.-.-), heptosyl-I-kinase	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)	4	8	3	4	467	6	1062	677	2	188	2	522	621	256	978	1322	1327	711	4	204	1	1
Lipopolysaccharide heptosyltransferase III (EC 2.4.1.-)	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
Lipoprotein releasing system ATP-binding protein LolD	3	8	9	6	1703	3	91	1630	2	1541	2	711	486	723	986	118	1358	574	2	407	4	2
Lipoprotein releasing system transmembrane protein LolC	13	10	5	4	756	2	117	1305	2	920	4	554	471	350	633	120	1241	504	2	729	2	2
Lipoprotein releasing system transmembrane protein LolE	2	4	2	1	74	2	75	192	1	707	1	37	173	264	539	60	806	420	1	325	1	1
Lipoprotein signal peptidase (EC 3.4.23.36)	2835	2710	5694	5880	1966	6325	2614	3482	1520	2693	1041	1910	3278	2334	3699	3314	8460	4019	2032	2847	1121	771
Lipoteichoic acid synthase LtaS Type Ib	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Lipoteichoic acid synthase LtaS Type IIa	2711	1155	2967	3353	19	1895	1720	1194	1238	22	409	1314	737	1042	1048	1778	461	116	2484	515	761	1210
Lipoteichoic acid synthase LtaS Type IIb	607	450	474	612	3	275	238	165	328	3	132	176	123	181	196	224	76	30	460	79	274	398
Lipoteichoic acid synthase LtaS Type IIc	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lipoteichoic acid synthase LtaS Type IVb	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	8	0	0	1	0	0
Lmbe-related protein	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lon-like protease with PDZ domain	1184	1261	1770	2295	52	1109	1872	1143	869	280	471	522	741	683	722	1326	877	578	648	319	644	674
Long-chain fatty acid transport protein	0	0	1	1	27	0	0	1	0	13	0	8	0	0	1	1	2	0	0	0	0	0
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	241	54	55	24	1683	28	5663	2208	25	6102	25	1032	4344	2773	10213	3844	13800	8614	48	4542	8	8
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	1540	2140	132	552	657	180	732	346	853	1601	792	209	541	480	927	300	1782	1052	1716	437	902	1174
Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	2	0	169	203	5	151	123	122	3	4	0	279	178	205	235	153	54	16	0	0	0	0
Low temperature requirement B protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
Low-affinity gluconate/H+ symporter GntU	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Low-affinity inorganic phosphate transporter	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
low-specificity D-threonine aldolase	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Low-specificity L-threonine aldolase (EC 4.1.2.5)	2	2	5	4	46	2	5	23	1	12	3	24	3	3	4	14	10	8	1	5	2	2
LppC putative lipoprotein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LptA, protein essential for LPS transport across the periplasm	0	1	2	1	285	1	1	10	0	2	1	114	679	1	1	2	2	1	0	1	1	1
LrgA-associated membrane protein LrgB	5	13	6	13	406	3	85	493	23	301	415	246	77	311	321	54	855	281	27	565	13	66
LSU m3Psi1915 methyltransferase RlmH	288	1396	1185	1043	1897	627	1495	2580	654	810	455	1131	614	1561	1348	1638	2073	1178	732	566	486	845
LSU m5C1962 methyltransferase RlmI	3	3	7	3	573	2	458	510	4	1096	4	622	361	381	668	386	1361	597	3	721	2	2
LSU ribosomal protein L10p (P0)	107295	100538	51972	103115	62872	32082	72107	101799	95339	81747	44118	61586	48067	62852	82303	59726	147233	75565	75614	62197	7863	6367
LSU ribosomal protein L11p (L12e)	123776	106343	76683	116506	45750	46735	81129	95921	91422	48228	50794	76201	54507	49756	64281	65206	98981	38181	25872	23690	42669	56635
LSU ribosomal protein L13p (L13Ae)	81986	87085	52730	81745	37320	34720	44539	50203	64765	58355	36441	40573	35625	40422	46962	53677	62366	37559	44173	24119	16184	22942
LSU ribosomal protein L14e	0	0	3	3	0	0	6	9	0	0	0	0	0	0	3	0	6	0	0	0	0	3
LSU ribosomal protein L14p (L23e)	63736	70072	43463	69500	16982	30533	47194	50019	64047	36208	32355	37645	24535	40705	33291	38488	58987	24918	32255	26457	13154	16368
LSU ribosomal protein L15p (L27Ae)	129868	32614	65649	105626	32376	34288	60347	71546	27550	49882	13216	45136	38362	45273	60883	59381	116371	41783	38435	39057	9051	6494
LSU ribosomal protein L16p (L10e)	137507	117949	80738	134064	41516	52431	82275	90964	113825	59333	58229	56662	49595	50774	59566	72229	131715	53002	59858	34956	24081	25000
LSU ribosomal protein L17p	15957	10279	44774	61617	13252	20071	39519	39620	10331	16796	3980	30234	20274	14948	33385	32125	53502	16841	6182	24501	23440	22530
LSU ribosomal protein L18p (L5e)	58180	46067	42719	67989	38126	24478	48398	51752	44209	43812	22085	44941	30636	30668	41341	37815	71366	31837	31866	40928	7352	5765
LSU ribosomal protein L19p	7698	13881	35721	45106	11298	19013	36338	58246	13968	17295	9665	37283	16801	18105	55272	39618	47103	14575	9708	25662	9594	12560
LSU ribosomal protein L1p (L10Ae)	43752	17839	24845	40120	30373	14411	29005	40257	16014	48838	8052	26038	21436	25695	33577	30070	104184	48068	10718	46788	8925	7650
LSU ribosomal protein L20p	8848	12240	6031	8281	6763	2648	8894	8940	12873	12368	5420	13626	4623	2678	4822	5907	12562	4447	2490	35153	12961	13403
LSU ribosomal protein L21p	52894	54350	57743	97471	48952	40823	102612	100022	49984	66606	23657	55890	61794	65325	74567	86994	155648	62115	29593	27041	8936	11422
LSU ribosomal protein L22p (L17e)	25496	24643	26993	39405	34386	14564	33641	50488	21586	68936	11440	30275	26844	38827	48197	29578	124268	60178	16413	32491	24834	19098
LSU ribosomal protein L23p (L23Ae)	69641	45725	57034	83401	14037	37298	59801	69879	46611	43264	20809	45150	33692	46578	51842	49463	87299	42497	28805	32417	22882	22332
LSU ribosomal protein L24p (L26e)	137323	89485	148781	198866	26193	79899	125865	152640	94846	82183	42269	87910	69272	46799	89868	155087	184905	73767	33414	25667	41301	39965
LSU ribosomal protein L25p	514	56	44	12	4858	23	3525	6153	13	5516	18	3354	3045	1900	4635	1865	9284	5420	28	19416	16	22
LSU ribosomal protein L27p	29321	20504	11906	19986	46051	7629	30108	29666	23522	18580	9740	21552	18730	9987	32913	24547	55535	21501	8358	16092	47545	56257
LSU ribosomal protein L28p	6853	3356	3890	6217	33660	3855	12294	16965	2970	57440	917	14095	14086	20459	32349	11633	65155	32767	2524	16886	5085	4263
LSU ribosomal protein L29p (L35e)	110256	79290	59765	98447	24097	35392	54945	56023	69766	47975	30508	47393	32701	33417	47422	45469	98182	40296	46970	20805	19021	20186
LSU ribosomal protein L2p (L8e)	67270	43859	72032	92563	17377	39042	61625	67310	41334	24991	23258	47166	28678	38055	34424	55873	54661	17228	25281	15675	41166	39270
LSU ribosomal protein L30p (L7e)	103634	35304	64431	93380	29693	39519	69960	71445	41157	46396	15729	49648	36722	40605	55157	53130	101213	39632	17494	17299	19823	20457
LSU ribosomal protein L31p	6675	15194	19335	25773	11141	10469	17242	16834	17774	5374	11339	11679	9418	12425	11225	18000	21959	11582	7111	13409	75813	75158
LSU ribosomal protein L32p	1727	2091	9517	14715	14106	6246	9373	18481	1826	14951	707	16922	6396	9907	15458	11644	21122	9453	4423	27198	6595	8192
LSU ribosomal protein L33p	9969	23306	16822	20576	91720	7102	26770	41142	14380	70984	9066	35345	22602	26170	54346	24685	87399	43099	9100	38505	28056	36524
LSU ribosomal protein L34p	876	46553	19358	39459	7163	15510	20320	22010	31808	20969	19035	20711	14020	19706	14513	17842	52776	19678	15980	16207	11855	18435
LSU ribosomal protein L35p	51989	51878	22090	33319	47028	14376	32232	40769	43586	28965	20524	33096	19756	12546	21270	21383	47167	18082	14716	7931	3811	3536
LSU ribosomal protein L36p	36718	26281	20560	29353	13441	10140	23713	22635	77459	9013	38157	16129	13282	11156	19083	17548	37202	11534	11738	2294	7075	7959
LSU ribosomal protein L3p (L3e)	51420	42284	37035	56351	21578	24341	40775	47032	39040	32185	19029	36667	21221	28340	28907	31250	50306	19282	27111	22958	36548	34775
LSU ribosomal protein L4p (L1e)	57486	45981	59939	84985	17166	35357	53677	57963	43753	38734	18809	43281	30887	43628	39654	46955	60526	26843	22896	34066	17603	17821
LSU ribosomal protein L5p (L11e)	32098	40184	32926	51097	21303	20877	35762	36296	36320	32231	16719	30903	23396	25840	24482	29877	46144	22486	20207	40217	16920	17416
LSU ribosomal protein L6p (L9e)	46758	23161	32638	47117	19594	20325	34992	36814	23069	30096	10419	27894	24916	25440	25666	31293	50232	21904	19816	33747	20161	18480
LSU ribosomal protein L7/L12 (P1/P2)	30394	18974	6581	19940	49343	3911	52922	45773	22803	76818	9051	29655	29498	20851	54043	31243	130750	87219	15089	65261	18121	19371
LSU ribosomal protein L9p	7743	11370	5773	6104	16100	4186	12774	14835	4094	44517	3981	13334	12100	13068	18794	16043	28271	19973	2306	14965	1942	3258
Lysine 2,3-aminomutase (EC 5.4.3.2)	0	0	0	0	117	0	2	0	0	10	0	1	0	0	0	0	2	0	0	1	0	0
Lysine decarboxylase (EC 4.1.1.18)	47	7	2	4	516	6	417	244	4	114	4	273	444	158	563	267	369	243	4	52	2	2
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	95	4	9	2	51	4	624	575	3	725	6	222	999	367	890	121	1540	1431	4	521	1	1
Lysine-specific permease	20	3	6	3	397	3	1185	97	1	77	3	105	234	140	1290	109	503	338	3	101	1	1
Lysine/cadaverine antiporter membrane protein CadB	845	716	34	40	14	122	3	5	114	2	255	2	1	3	1	2	2	2	8	5	210	1052
Lysophospholipase (EC 3.1.1.5)	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Lysophospholipase L2 (EC 3.1.1.5)	756	2806	249	533	10	198	19	10	2418	3	2388	6	3	4	6	4	5	3	1339	5	1439	1570
Lysophospholipid acyltransferase	1	6	6	2	344	10	117	692	2	896	1	5	787	2892	3212	219	3646	1962	3	1432	0	0
LysR family regulatory protein CidR	406	15	6	36	701	60	3452	1487	7	584	10	1206	1350	1243	3541	2258	2543	1656	8	596	3	4
LysR family transcriptional regulator lrhA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
LysR family transcriptional regulator near succinyl-CoA:3-ketoacid-coenzyme A transferase	0	1	0	0	39	0	217	65	0	58	0	77	0	112	138	287	254	133	345	66	0	0
LysR family transcriptional regulator STM2281	1	0	0	0	0	0	1	3	0	1	0	1	19	0	13	1	2	6	0	0	0	2
LysR family transcriptional regulator STM3121	1	154	50	430	2	1	3	3	1	1	1	1	3	2	1	2	1	1	1962	18	47	139
LysR family transcriptional regulator YbhD	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LysR family transcriptional regulator YdcI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LysR family transcriptional regulator YeiE	3	5	1	2	441	2	7	889	3	56	2	247	38	87	113	17	53	17	3	5	1	1
LysR family transcriptional regulator YfeR	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0
LysR family transcriptional regulator YfiE	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LysR family transcriptional regulator YhjC	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
LysR family transcriptional regulator YneJ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LysR family transcriptional regulator YnfL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LysR-family transcriptional regulator YhaJ	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Lysyl endopeptidase (EC 3.4.21.50)	0	0	1	1	317	1	2	4	0	137	1	1	2	1	0	1	2	1	1	4	0	0
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	10597	8493	10249	13175	5244	6001	13883	10534	4804	9305	3471	8204	6844	6212	11166	9168	14834	6566	3119	5637	6397	7290
LytH protein involved in methicillin resistance	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M protein trans-acting positive regulator (Mga)	1	0	0	0	7	0	0	2	0	3	0	2	2	0	1	0	1	0	0	1	0	0
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	37	29	13	158	336	2	127	173	2	1206	5	180	285	64	249	137	278	207	113	108	19	15
Macrolide-specific efflux protein MacA	1	3	2	1	187	1	147	61	1	49	2	75	185	57	135	139	173	91	1	109	1	1
macromolecule metabolism	1	7	2	1	128	1	107	435	1	484	3	36	171	322	600	76	1422	437	1	240	2	2
macromolecule synthesis, modification	23	2	4	1	14	1	117	130	1	119	1	53	193	83	208	177	387	274	4	103	1	2
Magnesium and cobalt efflux protein CorC	116	8	22	4	225	3	2008	529	5	446	4	352	1245	347	1416	1125	2458	1584	7	424	3	1
Major cell-binding factor precursor PebA	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Major facilitator superfamily (MFS) transporter	1	1	0	0	16	0	2	2	0	16	0	7	5	2	3	2	6	5	0	7	1	1
Major myo-inositol transporter IolT	0	0	0	0	3	0	0	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0
Malate dehydrogenase (EC 1.1.1.37)	27	70	64	22	9023	37	3768	6124	19	24717	27	5370	10130	6225	13919	3493	44504	14903	24	18650	17	11
Malate Na(+) symporter	2	18	3	4	88	3	29	88	2	195	2	153	85	90	113	55	479	282	2	9	5	3
Malate permease	320	95	20	156	1145	73	205	3984	9	556	17	1558	264	1068	612	271	1039	336	346	151	17	36
Malate synthase (EC 2.3.3.9)	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malate synthase G (EC 2.3.3.9)	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malate:quinone oxidoreductase (EC 1.1.5.4)	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Malolactic enzyme (EC 1.-.-.-)	2	63	11	191	9	1	10	3	2	7	7	4	4	5	5	11	5	4	903	5	23	92
Malolactic regulator	95	114	51	495	2	10	6	2	5	2	34	4	4	2	7	6	4	3	441	2	27	14
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	15	23	83	12	2136	18	1683	2336	9	8369	9	1106	3301	3279	5404	1441	8539	4530	9	2837	11	11
Maltodextrin glucosidase (EC 3.2.1.20)	816	2047	1491	1767	29	941	1636	685	874	234	770	877	743	773	907	1593	1090	554	751	254	1529	1410
Maltodextrin phosphorylase (EC 2.4.1.1)	6	0	1	1	16	1	5	17	1	21	1	5	12	11	7	6	17	5	1	31	0	0
Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0
Maltose O-acetyltransferase (EC 2.3.1.79)	310	3210	113	15	10	25	15	53	1961	12	1452	65	40	12	7	5	37	17	550	13	1046	1762
Maltose operon periplasmic protein MalM	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0
Maltose operon transcriptional repressor MalR, LacI family	869	1567	2317	3040	1154	1814	1843	2838	600	567	484	2003	1003	2021	2059	1785	2194	401	1031	762	2246	1390
Maltose phosphorylase (EC 2.4.1.8)	0	0	0	0	6	0	1	16	0	156	0	46	0	0	0	0	0	0	0	0	0	0
Maltose regulon modulator	1	1	1	1	17	1	757	79	1	105	1	17	1	200	569	246	3	1	1	8	2	3
Maltose regulon regulatory protein MalI (repressor for malXY)	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	54	7069	13469	9148	159	12709	5266	3621	1501	93	6428	14590	3979	5246	4371	35926	15333	1882	9425	1997	4876	6490
Maltose/maltodextrin ABC transporter, permease protein MalF	18165	16768	60188	73488	2485	42917	61476	32496	8049	7820	10535	73519	25712	46414	67668	153760	60972	19838	3922	40426	19532	19989
Maltose/maltodextrin ABC transporter, permease protein MalG	10027	8390	11535	15817	2856	10057	13056	10795	4292	17870	4933	18403	12782	13525	8922	37143	28676	15818	4041	26249	10526	10850
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	24999	45187	88752	92928	34369	51977	112626	86000	18369	129487	22355	155118	64750	85527	91402	206515	154216	69184	22198	60657	28965	33693
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	637	841	156	47	4413	82	10848	4987	269	6555	552	5024	8814	3288	6466	6806	31070	16268	34	6898	144	212
